Olivola,6136
Coniolo,6135
Cuccaro Monferrato,6134
Villamiroglio,6132
Vignale Monferrato,6131
Treville,6129
Terruggia,6127
Solonghello,6126
Serralunga  di Crea,6124
Sala Monferrato,6122
Rosignano Monferrato,6120
Robella,6118
Ponzano Monferrato,6116
Ottiglio,6114
Odalengo Piccolo,6112
Odalengo Grande,6110
Murisengo,6108
Frassinello Monferrato,6106
Cella Monte,6104
Casale Monferrato,6101
Mombello Monferrato,6091
Lu,6089
Grazzano Badoglio,6087
Conzano,6085
Cerrina Monferrato,6083
Castelletto Merli,6081
Casorzo,6079
Alfiano Natta,6077
Camagna Monferrato,6075
San Giorgio Monferrato,6065
Camino,6041
Ozzano Monferrato,6030
Moncalvo,5941
Villadeati,2506
Gabiano,2205
Pontestura,2203
Cereseto,2201
Moncestino,2199
